id,torneo_id,equipo_local_id,equipo_visitante_id,fecha,jornada,goles_local,goles_visitante
cmlmgwve1001ap4zcxnxf3ct9,FFM-P-M-FSP-A-2026,tythronuthqkvmdl94637zbol,adrithlvwtdhgcxm44467psde,2026-03-09 15:44:19,2,1,1
cmlmgwve10015p4zce6dwa519,FFM-P-M-FSP-A-2026,evgubysfaryqquxp91003epne,tpuenmmsfepzkuvs52687qkrz,2026-03-09 15:44:19,2,2,7
cmlmgwve10019p4zcufhdx1fo,FFM-P-M-FSP-A-2026,jlmvlskhdofdgywx21537tyml,niujlcyjulnsrfss48567ijaa,2026-03-09 15:44:20,2,5,4
cmlmgwve10014p4zclcmy1a0q,FFM-P-M-FSP-A-2026,qcovjxoltlivasyy94560eqge,tziicpsffzkwooln63257wnaj,2026-03-09 15:44:20,2,0,2
cmlmgwve10018p4zcin83vnmu,FFM-P-M-FSP-A-2026,wejbvnpjfddprayi56851nywm,clv9y14tc0002s5sdcij3kdes,2026-03-09 15:44:20,2,3,2
cmlmgwve10013p4zc85u5hv1u,FFM-P-M-FSP-A-2026,rvrkcfvivhratbxd30828eoll,xxvykydpifsapfau72439crkk,2026-03-09 15:44:21,2,0,2
cmlmgwve10016p4zcf2gzuuui,FFM-P-M-FSP-A-2026,uuouhvydksjxykxe23230jxen,buqhdbuybepnrwfj45861sfmv,2026-03-09 15:44:21,2,2,2
cmlmgwve1000zp4zcrfd0wo28,FFM-P-M-FSP-A-2026,xiixkzqhypqkmtyr19648wlcf,uuouhvydksjxykxe23230jxen,2026-03-09 15:44:21,1,4,0
cmlmgwve10011p4zc58r8m82n,FFM-P-M-FSP-A-2026,niujlcyjulnsrfss48567ijaa,wejbvnpjfddprayi56851nywm,2026-03-09 15:44:22,1,1,2
cmlmgwve1000wp4zcw7q8yowh,FFM-P-M-FSP-A-2026,tziicpsffzkwooln63257wnaj,rvrkcfvivhratbxd30828eoll,2026-03-09 15:44:22,1,2,1
cmlmgwve10010p4zc1rxlyvav,FFM-P-M-FSP-A-2026,clv9y14tc0002s5sdcij3kdes,iqsonebbiywvoxzr63562kwcg,2026-03-09 15:44:22,1,1,5
cmlmgwve1000vp4zci8z7r8z7,FFM-P-M-FSP-A-2026,xxvykydpifsapfau72439crkk,tythronuthqkvmdl94637zbol,2026-03-09 15:44:22,1,2,0
cmlmgwve10012p4zcskrr7o5j,FFM-P-M-FSP-A-2026,adrithlvwtdhgcxm44467psde,jlmvlskhdofdgywx21537tyml,2026-03-09 15:44:23,1,3,3
cmlmgwve1000yp4zcrrjkblvv,FFM-P-M-FSP-A-2026,buqhdbuybepnrwfj45861sfmv,evgubysfaryqquxp91003epne,2026-03-09 15:44:23,1,7,4
cmlmgwve1000xp4zc4h7xxheh,FFM-P-M-FSP-A-2026,qcovjxoltlivasyy94560eqge,tpuenmmsfepzkuvs52687qkrz,2026-03-09 15:44:23,1,1,3
